task_id,status
P5.011,NOT_STARTED
P5.012,NOT_STARTED
P5.013,NOT_STARTED
P5.014,NOT_STARTED
P5.015,NOT_STARTED
P6.001,NOT_STARTED
P6.002,NOT_STARTED
P6.003,NOT_STARTED
P6.004,NOT_STARTED
P6.005,NOT_STARTED
P6.006,NOT_STARTED
P6.007,NOT_STARTED
P6.008,NOT_STARTED
P6.009,NOT_STARTED
P6.010,NOT_STARTED
P6.011,NOT_STARTED
P6.012,NOT_STARTED
P6.013,NOT_STARTED
P6.014,NOT_STARTED
P6.015,NOT_STARTED
P7.001,NOT_STARTED
P7.002,NOT_STARTED
P7.003,NOT_STARTED
P7.004,NOT_STARTED
P7.005,NOT_STARTED
P7.006,NOT_STARTED
P7.007,NOT_STARTED
P7.008,NOT_STARTED
P7.009,NOT_STARTED
P7.010,NOT_STARTED
P7.011,NOT_STARTED
P7.012,NOT_STARTED
P7.013,NOT_STARTED
P7.014,NOT_STARTED
P7.015,NOT_STARTED
P7.016,NOT_STARTED
P7.017,NOT_STARTED
P8.001,NOT_STARTED
P8.002,NOT_STARTED
P8.003,NOT_STARTED
P8.004,NOT_STARTED
P8.005,NOT_STARTED
P8.006,NOT_STARTED
P8.007,NOT_STARTED
P8.008,NOT_STARTED
P8.009,NOT_STARTED
P8.010,NOT_STARTED
P8.011,NOT_STARTED
P8.012,NOT_STARTED
P8.013,NOT_STARTED
P8.014,NOT_STARTED
P8.015,NOT_STARTED
P9.001,NOT_STARTED
P9.002,NOT_STARTED
P9.003,NOT_STARTED
P9.004,NOT_STARTED
P9.005,NOT_STARTED
P9.006,NOT_STARTED
P9.007,NOT_STARTED
P9.008,NOT_STARTED
P9.009,NOT_STARTED
P9.010,NOT_STARTED
P9.011,NOT_STARTED
P9.012,NOT_STARTED
P9.013,NOT_STARTED
P9.014,NOT_STARTED
P9.015,NOT_STARTED
P9.016,NOT_STARTED
P9.017,NOT_STARTED
P10.001,NOT_STARTED
P10.002,NOT_STARTED
P10.003,NOT_STARTED
P10.004,NOT_STARTED
P10.005,NOT_STARTED
P10.006,NOT_STARTED
P10.007,NOT_STARTED
P10.008,NOT_STARTED
P10.009,NOT_STARTED
P10.010,NOT_STARTED
P10.011,NOT_STARTED
P10.012,NOT_STARTED
P10.013,NOT_STARTED
P10.014,NOT_STARTED
P10.015,NOT_STARTED
P10.016,NOT_STARTED
P10.017,NOT_STARTED
P10.018,NOT_STARTED
P10.019,NOT_STARTED
P11.001,NOT_STARTED
P11.002,NOT_STARTED
P11.003,NOT_STARTED
P11.004,NOT_STARTED
P11.005,NOT_STARTED
P11.006,NOT_STARTED
P11.007,NOT_STARTED
P11.008,NOT_STARTED
P11.009,NOT_STARTED
P11.010,NOT_STARTED
P11.011,NOT_STARTED
P11.012,NOT_STARTED
P11.013,NOT_STARTED
P11.014,NOT_STARTED
P11.015,NOT_STARTED
P11.016,NOT_STARTED
P11.017,NOT_STARTED
P11.018,NOT_STARTED
P11.019,NOT_STARTED
P11.020,NOT_STARTED
P12.001,NOT_STARTED
P12.002,NOT_STARTED
P12.003,NOT_STARTED
P12.004,NOT_STARTED
P12.005,NOT_STARTED
P12.006,NOT_STARTED
P12.007,NOT_STARTED
P12.008,NOT_STARTED
P12.009,NOT_STARTED
P12.010,NOT_STARTED
P12.011,NOT_STARTED
P12.012,NOT_STARTED
P12.013,NOT_STARTED
P12.014,NOT_STARTED
P12.015,NOT_STARTED
P13.001,NOT_STARTED
P13.002,NOT_STARTED
P13.003,NOT_STARTED
P13.004,NOT_STARTED
P13.005,NOT_STARTED
P13.006,NOT_STARTED
P13.007,NOT_STARTED
P13.008,NOT_STARTED
P13.009,NOT_STARTED
P13.010,NOT_STARTED
P13.011,NOT_STARTED
P13.012,NOT_STARTED
P13.013,NOT_STARTED
P13.014,NOT_STARTED
P13.015,NOT_STARTED
P13.016,NOT_STARTED
P13.017,NOT_STARTED
P14.001,NOT_STARTED
P14.002,NOT_STARTED
P14.003,NOT_STARTED
P14.004,NOT_STARTED
P14.005,NOT_STARTED
P14.006,NOT_STARTED
P14.007,NOT_STARTED
P14.008,NOT_STARTED
P14.009,NOT_STARTED
P14.010,NOT_STARTED
P14.011,NOT_STARTED
P14.012,NOT_STARTED
P15.001,NOT_STARTED
P15.002,NOT_STARTED
P15.003,NOT_STARTED
P15.004,NOT_STARTED
P15.005,NOT_STARTED
P15.006,NOT_STARTED
P15.007,NOT_STARTED
P15.008,NOT_STARTED
P15.009,NOT_STARTED
P15.010,NOT_STARTED
P15.011,NOT_STARTED
P15.012,NOT_STARTED
P15.013,NOT_STARTED
P16.001,NOT_STARTED
P16.002,NOT_STARTED
P16.003,NOT_STARTED
P16.004,NOT_STARTED
P16.005,NOT_STARTED
P16.006,NOT_STARTED
P16.007,NOT_STARTED
P16.008,NOT_STARTED
P16.009,NOT_STARTED
P16.010,NOT_STARTED
P16.011,NOT_STARTED
P16.012,NOT_STARTED
P16.013,NOT_STARTED
P17.001,NOT_STARTED
P17.002,NOT_STARTED
P17.003,NOT_STARTED
P17.004,NOT_STARTED
P17.005,NOT_STARTED
P17.006,NOT_STARTED
P17.007,NOT_STARTED
P17.008,NOT_STARTED
P17.009,NOT_STARTED
P17.010,NOT_STARTED
P17.011,NOT_STARTED
P17.012,NOT_STARTED
P17.013,NOT_STARTED
P17.014,NOT_STARTED
P17.015,NOT_STARTED
P17.016,NOT_STARTED
P17.017,NOT_STARTED
P17.018,NOT_STARTED
P18.001,NOT_STARTED
P18.002,NOT_STARTED
P18.003,NOT_STARTED
P18.004,NOT_STARTED
P18.005,NOT_STARTED
P18.006,NOT_STARTED
P18.007,NOT_STARTED
P18.008,NOT_STARTED
P18.009,NOT_STARTED
P18.010,NOT_STARTED
P18.011,NOT_STARTED
P18.012,NOT_STARTED
P18.013,NOT_STARTED
P18.014,NOT_STARTED
P18.015,NOT_STARTED
P18.016,NOT_STARTED
P18.017,NOT_STARTED
P18.018,NOT_STARTED
P19.001,NOT_STARTED
P19.002,NOT_STARTED
P19.003,NOT_STARTED
P19.004,NOT_STARTED
P19.005,NOT_STARTED
P19.006,NOT_STARTED
P19.007,NOT_STARTED
P19.008,NOT_STARTED
P19.009,NOT_STARTED
P19.010,NOT_STARTED
P19.011,NOT_STARTED
P19.012,NOT_STARTED
P20.001,NOT_STARTED
P20.002,NOT_STARTED
P20.003,NOT_STARTED
P20.004,NOT_STARTED
P20.005,NOT_STARTED
P20.006,NOT_STARTED
P20.007,NOT_STARTED
P20.008,NOT_STARTED
P20.009,NOT_STARTED
P20.010,NOT_STARTED
P20.011,NOT_STARTED
P20.012,NOT_STARTED
P20.013,NOT_STARTED
P20.014,NOT_STARTED
P20.015,NOT_STARTED
P20.016,NOT_STARTED
P20.017,NOT_STARTED
P21.001,NOT_STARTED
P21.002,NOT_STARTED
P21.003,NOT_STARTED
P21.004,NOT_STARTED
P21.005,NOT_STARTED
P21.006,NOT_STARTED
P21.007,NOT_STARTED
P21.008,NOT_STARTED
P21.009,NOT_STARTED
P21.010,NOT_STARTED
P21.011,NOT_STARTED
P21.012,NOT_STARTED
P21.013,NOT_STARTED
P21.014,NOT_STARTED
P22.001,NOT_STARTED
P22.002,NOT_STARTED
P22.003,NOT_STARTED
P22.004,NOT_STARTED
P22.005,NOT_STARTED
P22.006,NOT_STARTED
P22.007,NOT_STARTED
P22.008,NOT_STARTED
P22.009,NOT_STARTED
P22.010,NOT_STARTED
P22.011,NOT_STARTED
P22.012,NOT_STARTED
P22.013,NOT_STARTED
P22.014,NOT_STARTED
P22.015,NOT_STARTED
P22.016,NOT_STARTED
P22.017,NOT_STARTED
P22.018,NOT_STARTED
P22.019,NOT_STARTED
P22.020,NOT_STARTED
P22.021,NOT_STARTED
P22.022,NOT_STARTED
P23.001,NOT_STARTED
P23.002,NOT_STARTED
P23.003,NOT_STARTED
P23.004,NOT_STARTED
P23.005,NOT_STARTED
P23.006,NOT_STARTED
P23.007,NOT_STARTED
P23.008,NOT_STARTED
P23.009,NOT_STARTED
P23.010,NOT_STARTED
P23.011,NOT_STARTED
P23.012,NOT_STARTED
P23.013,NOT_STARTED
P23.014,NOT_STARTED
P23.015,NOT_STARTED
P24.001,NOT_STARTED
P24.002,NOT_STARTED
P24.003,NOT_STARTED
P24.004,NOT_STARTED
P24.005,NOT_STARTED
P24.006,NOT_STARTED
P24.007,NOT_STARTED
P24.008,NOT_STARTED
P24.009,NOT_STARTED
P24.010,NOT_STARTED
P24.011,NOT_STARTED
P24.012,NOT_STARTED
P24.013,NOT_STARTED
P24.014,NOT_STARTED
P24.015,NOT_STARTED
P24.016,NOT_STARTED
P24.017,NOT_STARTED
P24.018,NOT_STARTED
P24.019,NOT_STARTED
P24.020,NOT_STARTED
P25.001,NOT_STARTED
P25.002,NOT_STARTED
P25.003,NOT_STARTED
P25.004,NOT_STARTED
P25.005,NOT_STARTED
P25.006,NOT_STARTED
P25.007,NOT_STARTED
P25.008,NOT_STARTED
P25.009,NOT_STARTED
P25.010,NOT_STARTED
P25.011,NOT_STARTED
P25.012,NOT_STARTED
P25.013,NOT_STARTED
P25.014,NOT_STARTED
P25.015,NOT_STARTED
P25.016,NOT_STARTED
P25.017,NOT_STARTED
P25.018,NOT_STARTED
P25.019,NOT_STARTED
P25.020,NOT_STARTED
P26.001,NOT_STARTED
P26.002,NOT_STARTED
P26.003,NOT_STARTED
P26.004,NOT_STARTED
P26.005,NOT_STARTED
P26.006,NOT_STARTED
P26.007,NOT_STARTED
P26.008,NOT_STARTED
P26.009,NOT_STARTED
P26.010,NOT_STARTED
P26.011,NOT_STARTED
P26.012,NOT_STARTED
P27.001,NOT_STARTED
P27.002,NOT_STARTED
P27.003,NOT_STARTED
P27.004,NOT_STARTED
P27.005,NOT_STARTED
P27.006,NOT_STARTED
P27.007,NOT_STARTED
P27.008,NOT_STARTED
P27.009,NOT_STARTED
P27.010,NOT_STARTED
P27.011,NOT_STARTED
P27.012,NOT_STARTED
P27.013,NOT_STARTED
P27.014,NOT_STARTED
P27.015,NOT_STARTED
P27.016,NOT_STARTED
P27.017,NOT_STARTED
P27.018,NOT_STARTED
P27.019,NOT_STARTED
P27.020,NOT_STARTED
P27.021,NOT_STARTED
P27.022,NOT_STARTED
P28.001,NOT_STARTED
P28.002,NOT_STARTED
P28.003,NOT_STARTED
P28.004,NOT_STARTED
P28.005,NOT_STARTED
P28.006,NOT_STARTED
P28.007,NOT_STARTED
P28.008,NOT_STARTED
P28.009,NOT_STARTED
P28.010,NOT_STARTED
